	Synonym	Gene	baseMean	Ketamine log2FC	Ketamine stat	Ketamine padj	Ketamine log10FC	Propofol log2FC	Propofol stat	Propofol padj	Propofol log10FC	ket/xyl_E1004_01	ket/xyl_E1004_03	ket/xyl_E1004_04	propofol_E1004_05	propofol_E1004_06	propofol_E1004_08	input_E1004_13	input_E1004_14	input_E1004_15
1547	VK055_1548	aroA	20.703334828335198	-8.254305495463719	-4.85106765468029	7.517805363903441e-05	-2.484793547508619	-8.268762008	-4.859563769	8.26e-05	-2.4891453914147323	0.0	0.0	0.0	0.0	0.0	0.0	62.11965811	79.1146309	88.30712349
1548	VK055_1549	serC	24.2860488655823	-8.48446652607512	-5.15816483729383	1.82136382901638e-05	-2.554078921555587	-8.49892304	-5.166953732	1.95e-05	-2.55843076587971	0.0	0.0	0.0	0.0	0.0	0.0	102.0285418	85.81559691	79.25926248
1593	VK055_1594	-	95.7473569970421	-3.58896345866374	-5.73393457209796	1.10406357255079e-06	-1.0803856543997326	-2.763615868	-4.516284918999999	0.000371173	-0.8319312727609496	28.81692721	8.927051763	13.25136627	13.87190063	33.75302785	40.03363984	296.0026388	283.1698538	267.5995373
1771	VK055_1772	nadA	11.517781857116	-7.4082390804782	-3.73689589158029	0.00578799959456821	-2.2301021782740884	-7.4226955860000015	-3.744188104	0.005845458	-2.2344540200686325	0.0	0.0	0.0	0.0	0.0	0.0	41.74215392	39.62936885	45.31168795
1780	VK055_1781	pal	12.277167409997402	-7.5003047092419015	-3.84282274747897	0.00425491176846337	-2.257816694101627	-7.514761215	-3.850229619	0.0042801770000000005	-2.2621685359673043	0.0	0.0	0.0	0.0	0.0	0.0	50.97901568	51.5902329	34.88855207
1781	VK055_1782	tolB	101.861074940475	-10.552909794881199	-7.66220224222439	1.9021945730100807e-11	-3.1767423897954714	-10.56736631	-7.672698757	1.49e-11	-3.181094234479002	0.0	0.0	0.0	0.0	0.0	0.0	400.075982	406.4532176	306.7586798
1782	VK055_1783	tolA	39.56175773234529	-9.18845798643128	-6.06261806358351	2.0007250912084e-07	-2.7660014678140814	-9.202914502999999	-6.072156589	2.16e-07	-2.770353312934079	0.0	0.0	0.0	0.0	0.0	0.0	161.680336	161.4716647	112.2658595
1784	VK055_1785	tolQ	23.642704823519697	-8.44573927600314	-5.081413147720889	2.64341537611516e-05	-2.542420857634341	-8.46019579	-5.090110967	2.7300000000000006e-05	-2.546772701980132	0.0	0.0	0.0	0.0	0.0	0.0	95.40056462	103.1804658	61.23592334
1800	VK055_1802	gltA	38.2427340670125	-4.87601616521122	-4.4464213860553	0.00044874363930517996	-1.4678271250710355	-8.138959642	-5.268702621	1.27e-05	-2.4500709857405782	7.306856187	2.354387278	0.0	0.0	1.544256176	0.0	159.353493	113.1238347	117.9841076
1896	VK055_1897	-	40.725921268884704	-2.82508671910698	-3.3269133715877794	0.0190396345712442	-0.8504358428031451	-1.621379717	-1.960431141	0.265787818	-0.488083929178177	7.635254217999999	9.908046462	12.48686437	37.45413169	11.91283336	22.58679137	42.79980985	133.3708395	132.67783390000002
