Synonym	Gene	baseMean	Ketamine log2FC	Ketamine stat	Ketamine padj	Ketamine log10FC	Propofol log2FC	Propofol stat	Propofol padj	Propofol log10FC
VK055_2794	pepA	55.4048555828268	-9.674365527406321	-6.6686042027376695	8.26988478793949e-09	-2.912274212766894	-9.688822046	-6.678569176	8.209999999999999e-09	-2.9166260584964654
VK055_2887	purA	14.7654976694628	-7.76663291385524	-4.204434447115069	0.00117161940742916	-2.3379894723815764	-7.781089422999999	-4.2122604180000005	0.0011653780000000001	-2.3423413152667396
VK055_3061	-	58.2172763034607	-5.105926931240719	-4.322640650822221	0.000729342151381599	-1.5370371619719987	-4.548453066	-3.9252843630000003	0.003392265	-1.369220806735802
VK055_3086	purH	85.7339101357283	-7.124018055265791	-6.74479004316147	6.379733619139979e-09	-2.1445431242867845	-10.30846958	-7.1405360710000005	4.11e-10	-3.103158552969682
VK055_3088	purD	83.83159501519201	-9.29542612871216	-6.41294699528589	3.1273585960987e-08	-2.798202087221079	-6.981462887	-6.660107667999999	8.65e-09	-2.1016297426018555
VK055_3092	hupA	18.639503565563103	-5.19071434073601	-3.87871805753735	0.0037685332816488203	-1.562560715484726	-7.106976474	-4.3573634619999995	0.000701808	-2.1394130971522363
VK055_3137	fre	94.76130864114029	-3.1959197546331	-3.7561425342778505	0.00548347954448535	-0.962067709879634	-4.893155136	-5.516339594	3.93e-06	-1.4729864693732673
VK055_3141	rfaH	29.013248405379	-8.74110803726742	-5.50959134732109	3.32732594048222e-06	-2.6313357145570024	-8.755564553	-5.518703406	3.93e-06	-2.635687559425297
VK055_3142	tatC	91.2530329499493	-3.6768603807300098	-3.2180799308703	0.0242001282825889	-1.1068452644682192	-4.186055883	-3.6401218060000002	0.008039018	-1.260128384308673
VK055_3143	tatB	33.149681365694796	-6.98564712398388	-4.3581331521736	0.00063498612843099	-2.10288932344297	-4.843510572	-3.6320999260000004	0.008130553	-1.458041966487607
VK055_3144	-	9.01182122337314	-7.05419023324797	-3.2902216936879	0.0202950100000522	-2.123522855327535	-7.068646734	-3.2969645069999998	0.021710973999999997	-2.1278746956862347
VK055_3163	uvrD	212.35219271955003	-2.46534442146292	-4.60208356407134	0.000226145679598275	-0.7421426205032031	-2.001668321	-3.7538290610000002	0.00570837	-0.6025622059913585
VK055_3181	-	197.764775847159	-3.50973408816681	-6.51899906475691	1.9634130182140602e-08	-1.0565352373425818	-2.1310512740000003	-4.042513353	0.002294115	-0.6415103557719417
VK055_3188	-	39.092606066587294	-4.29579704656425	-3.55831181641298	0.009834324991248979	-1.2931637663005793	-4.654307565	-3.8053177000000002	0.004857974	-1.4010861861107848
VK055_3202	ilvC	206.28612424608102	-6.809363767926049	-2.93454589473671	0.0471387285606948	-2.049822745533249	-8.416147919	-3.5343455280000002	0.01109742	-2.5335129715639946
VK055_3204	-	115.514634757096	-2.1087220378266003	-3.2638387890539504	0.0217841602522274	-0.6347885859034831	-2.833917804	-4.34237907	0.0007424939999999999	-0.8530942642501991
VK055_3206	ilvE	121.36303269995899	-10.805626346884	-7.92824710897982	4.62635677728092e-12	-3.252817652349092	-10.82008287	-7.938854071000001	2.26e-12	-3.257169499440017
VK055_3208	ilvB3	355.776420001144	-2.2741513168560896	-3.64433758703445	0.00764399104135988	-0.6845877610524258	-2.510437413	-4.018653066000001	0.002443426	-0.7557169635500862
VK055_3211	-	31.2282967070637	-3.2629588853377496	-3.7429878477242005	0.00571124856342015	-0.9822484991049717	-4.777113719	-4.96892783	5.05e-05	-1.438054522116915
VK055_3231	ppc	118.340803552443	-3.5597420071791	-3.72943760726093	0.005874348586051421	-1.0715891209860162	-6.00140064	-5.900476433	5.35e-07	-1.806601608637014
VK055_3243	metB	123.008410392505	-9.859428280234589	-7.29972459786487	1.7149023024511301e-10	-2.9679836524483516	-9.021757447	-7.357277872999999	1.19e-10	-2.7158196051519004
VK055_3254	pfkA	61.547708697286	-9.7669010519859	-6.23617071633424	8.11625246658599e-08	-2.9401301813298493	-4.6096488419999995	-4.260640963	0.001002221	-1.3876425709197358
VK055_3257	cpxR	19.4448703462297	-4.61452341310516	-3.0198275457283503	0.0395827196563363	-1.389109963038386	-8.119796924	-4.412031351	0.000573599	-2.4443024328241276
VK055_3276	-	153.660080313587	-2.40446543557373	-4.748518961783111	0.000116855797228751	-0.7238162196449527	-2.087498725	-4.142888457	0.0015485639999999999	-0.6283997321353163
VK055_3297	ntrC	129.88303556975902	-2.5704229482132797	-3.36366875340983	0.0171225743293321	-0.7737744089552413	-2.273888055	-2.983367308	0.046724005	-0.6845085113370286
VK055_3301	polA	124.30506675248002	-5.466007683809191	-6.034343963291231	2.2912257683172802e-07	-1.6454322693563685	-3.71761259	-4.292257437	0.000899576	-1.119112901848062
VK055_3303	-	31.786387778755103	-8.87268947799112	-5.6193833102564	1.99449600709826e-06	-2.6709456750875185	-8.887145992999999	-5.628539125	2.3e-06	-2.6752975197379576
VK055_3327	gidA	46.337627463581704	-5.10241579630445	-4.34688328596642	0.000660747765371079	-1.5359802050373577	-4.622397241	-4.023950004	0.002427807	-1.3914802214154287
VK055_3499	-	40.5638676022763	-9.22454799045097	-6.06184705842212	2.0007250912084e-07	-2.776865641567642	-9.239004507	-6.0713470570000005	2.16e-07	-2.781217486681713
VK055_3502	-	73.9108888078593	-10.0901553032759	-7.145608510199339	4.66246010236467e-10	-3.037439407194041	-10.10461182	-7.155846274	4.11e-10	-3.0417912523608135
VK055_3504	-	42.8091869211392	-9.30228319388945	-6.19122290601348	1.0355325975270699e-07	-2.800266269521666	-9.316739711	-6.200844578	1.24e-07	-2.8046181148047715
VK055_3505	-	34.441678513773496	-8.988475911330289	-5.78569989007504	8.35040380718542e-07	-2.7058008646135563	-9.002932427000001	-5.795005257000001	9.45e-07	-2.710152709462926
VK055_3513	yibP	127.74975213706001	-4.822503132217	-5.238746476898	1.2698795557078801e-05	-1.4517180969808192	-3.6834038789999997	-4.085492052	0.00194627	-1.1088150537240615
VK055_3604	gor	142.83839471295	-3.53044695061953	-4.81110407073158	8.80086525561863e-05	-1.0627704302369128	-4.555421812	-6.074232573	2.16e-07	-1.3713186083139652
VK055_3642	-	46.45271325025471	-5.91115186008232	-5.08327043698662	2.6434153761151602e-05	-1.7794340188097153	-8.44492835	-5.448890991	5.22e-06	-2.5421767445831316
VK055_3696	ompR	48.4579278990784	-9.4811744136925	-6.44507061884215	2.67233615123554e-08	-2.854117892643303	-9.495630932000001	-6.454897806	2.8199999999999998e-08	-2.858469738286726
VK055_3711	damX	26.96165674329	-4.693862923736889	-4.04816536161596	0.00206631593820586	-1.4129935355798378	-5.151317705	-4.294164278999999	0.000899576	-1.5507011463999396
VK055_3728	-	41.5007114126279	-9.257510274317811	-6.17636977092269	1.09224239870774e-07	-2.786788277737152	-9.271966792	-6.186014782999999	1.3e-07	-2.7911401231923376
VK055_3791	aroE	35.9034155617008	-9.04416411287594	-5.9404971896184895	3.81597943909765e-07	-2.7225646836833786	-8.096825715	-5.318254933	1.01e-05	-2.437387409878461
VK055_3845	-	11.375104887394901	-7.371933315174201	-3.87606470721677	0.0037772807497679995	-2.219173053902048	-6.424595527	-3.37796707	0.017372603	-1.933995963635643
