Synonym	Gene	baseMean	Ketamine log2FC	Ketamine stat	Ketamine padj	Ketamine log10FC	Propofol log2FC	Propofol stat	Propofol padj	Propofol log10FC
VK055_3205	ilvD	400.608270136388	-1.71203042685325	-2.50858150669467	0.104995842371667	-0.5153725119722378	-3.5561969419999997	-5.169291875	1.95e-05	-1.070521950030523
VK055_3207	-	58.13188208596021	-1.82012413588669	-2.23863138477283	0.16665177587052402	-0.5479119607338778	-4.578587357	-5.187688126	1.8100000000000003e-05	-1.3782921322248691
VK055_3251	hslU	70.51443927793441	-1.47790271139135	-2.2125087111053703	0.173554148762365	-0.44489304680192415	-2.38772657	-3.5211507539999998	0.011593453	-0.7187773190138727
VK055_3296	glnL	79.9953369679261	-1.26435137316679	-1.98679070841368	0.240910416167464	-0.3806076883821474	-2.762592415	-4.22900652	0.001104958	-0.8316231827087973
VK055_3386	dsdC	158.228592524403	0.0226633401032614	0.0374221159557151	0.9857536319796241	0.006822345173016142	-2.239743721	-3.632543325	0.008130553	-0.6742300426210591
VK055_3394	-	307.182056789307	-1.00042295280454	-1.4841147207767	0.412556694257496	-0.30115731714489796	-2.231016231	-3.29583768	0.021710973999999997	-0.6716028063442017
VK055_3414	-	218.03202554951199	-0.42681328163976096	-0.657721901965527	0.758354089672299	-0.12848360032134679	-2.464633638	-3.7563472769999997	0.005693436	-0.7419286533604422
VK055_3418	-	67.2633967240179	-0.9734637114486631	-1.25087755350371	0.510715717173395	-0.29304177683643406	-2.403422466	-3.0352945719999997	0.041536379	-0.723502254518695
VK055_3421	-	65.3080296215372	-1.14164116809742	-1.58892117444606	0.37118655934809797	-0.3436682358821887	-2.768557122	-3.750506733	0.005742009	-0.8334187384311442
VK055_3436	-	60.262389571665295	-1.8604445364888	-1.62091329445297	0.36326649808787204	-0.560049610752301	-3.579426488	-3.06355931	0.039183795	-1.0775147401621794
VK055_3462	-	100.31137841167299	-0.149050667377079	-0.189397463816644	0.935328729027489	-0.0448687217542356	-3.13246399	-3.860128509	0.004208054	-0.9429656213272773
VK055_3521	lctD2	255.059193089109	-0.367681434970023	-0.5518333377537329	0.800011408990881	-0.11068314077475239	-2.303601586	-3.429637112	0.015109725	-0.6934531754451202
VK055_3531	selB	34.234168269734894	-1.28748187244413	-1.2286340109098601	0.516450089042346	-0.3875706624793108	-6.629077511	-4.564446627	0.00029947299999999997	-1.9955511743925254
VK055_3532	-	10.7893686305779	-5.44772633699147	-2.89045609341892	0.051520641370299	-1.6399290356030982	-7.2963237229999995	-3.703236763	0.006680371	-2.196412298697693
VK055_3626	-	54.992334172260506	-2.96263026104239	-2.8099516565700493	0.0611365681552245	-0.8918405746355701	-3.996478523	-3.716341041	0.006388711	-1.203059912449884
VK055_3713	rpe	17.2268118569557	-4.51768655018961	-2.87803764145553	0.052716936999863	-1.3599591626148044	-7.9423032760000005	-4.247363405	0.001040361	-2.390871520736304
VK055_3865	rpoN	17.403184935053	-4.51526568511633	-2.8685325165546	0.0541558770328403	-1.359230409612292	-7.956596998999999	-4.24422724	0.001043672	-2.3951743601090154
VK055_3945	yqjA	61.9321349141743	-1.64092905915658	-2.03798001161964	0.22266120027279998	-0.493968867562806	-3.960777823	-4.6711135839999995	0.00018937200000000002	-1.1923129308836828
VK055_3955	-	124.99360082214399	-1.29716378322139	-1.73585711271301	0.324271054020412	-0.3904852080386085	-2.942339317	-3.880990073	0.003934547	-0.8857323918384714
