Synonym	Gene	baseMean	Ketamine log2FC	Ketamine stat	Ketamine padj	Ketamine log10FC	Propofol log2FC	Propofol stat	Propofol padj	Propofol log10FC
VK055_1979	-	69.3653779930568	-2.9653286121214597	-3.43468342073363	0.0140323007353657	-0.8926528592492023	-1.490697353	-1.759314545	0.33833411	-0.44874461770989826
VK055_1993	-	30.485567500440997	-3.07975035360597	-2.9619737899938303	0.0448070437561469	-0.9270972355921497	0.46043786299999995	0.480212288	0.85319685	0.13860560790242277
VK055_2000	-	41.8451929285466	-2.5696660004275	-3.07437558302481	0.0345731718396913	-0.7735465449665703	-2.363131207	-2.841091247	0.05975394	-0.7113733769966286
VK055_2152	lon	124.235090858941	-2.25257167550567	-3.54243139441159	0.0101879540154875	-0.6780916417102787	-0.564648532	-0.902342118	0.685328158	-0.16997614513963336
VK055_2216	phoB	9.464741086048642	-7.08836203307286	-3.48150994701376	0.0123550718913595	-2.133809592080652	-5.263287903999999	-2.695512162	0.08141132599999999	-1.5844075349194044
VK055_2227	proC	16.739986837569	-3.73735233194394	-2.9151473005027597	0.0491705207402653	-1.1250551562798543	-1.3084576509999999	-1.106745081	0.602311797	-0.39388500100703294
VK055_2286	-	32.1240218350139	-3.80425781550775	-3.20646123979897	0.0250859779152838	-1.1451957137069646	1.813166529	1.9026362669999999	0.287715835	0.5458175123629458
VK055_2545	oadB	12.588920067067301	-6.48136733212977	-3.4939588188757904	0.0118636631511641	-1.9510859798876938	-4.1021103619999995	-2.635058597	0.09201211	-1.2348582644860322
VK055_2895	miaA	11.3475826785195	-6.36294951607776	-3.34225736343181	0.0183039779759662	-1.9154386652350193	-4.915904943	-2.8663910089999995	0.057772841	-1.4798348436758337
VK055_2896	mutL	170.987396895092	-2.18118921748998	-3.52552270376874	0.0106635357834969	-0.6566033806833312	-1.4957643859999998	-2.4305750809999997	0.129677889	-0.45026994663191744
VK055_2968	phnH	45.13505016951861	-3.06164573962419	-3.13377653511108	0.0300593376566672	-0.9216472037237163	-1.114688277	-1.175666507	0.575689838	-0.33555460719200064
VK055_2972	phnL	7.354985642611541	-6.02648768962662	-2.9266394549270998	0.0477725060517067	-1.8141535630773375	-0.581242979	-0.339044705	0.906188746	-0.17497157144808953
VK055_2983	-	83.75253953950859	-2.5515004961714505	-3.3811401297223997	0.0163889270966037	-0.7680781832991376	-1.6593572140000001	-2.223087804	0.183801455	-0.49951629493541594
VK055_3167	dapF	69.9541021685356	-3.20288534639508	-4.70540103761162	0.000140635792330163	-0.9641645619375399	-1.3194907340000002	-2.021143082	0.242032148	-0.39720628993468343
VK055_3187	rfbB	84.88582576796159	-2.37002431437369	-3.38565392266019	0.0162423044914399	-0.713448409079442	-1.654605788	-2.386278533	0.138697714	-0.4980859731872382
VK055_3227	argH	125.182897500104	-3.40342209245902	-3.4636248148901005	0.0131282121420043	-1.0245321377356367	-2.396131118	-2.456379006	0.12470418900000001	-0.7213073400618704
